Date,Adj_Close,Close,High,Low,Open,Volume
2024-07-08,1.082602620124817,1.082602620124817,1.0847163200378418,1.0815136432647705,1.082602620124817,0
2024-07-09,1.0830950736999512,1.0830950736999512,1.0834236145019531,1.0806254148483276,1.0830950736999512,0
2024-07-10,1.0814785957336426,1.0814785957336426,1.0828721523284912,1.081186294555664,1.0814785957336426,0
2024-07-11,1.083329677581787,1.083329677581787,1.0898351669311523,1.0832945108413696,1.083329677581787,0
2024-07-12,1.0872756242752075,1.0872756242752075,1.091119408607483,1.086307168006897,1.0872756242752075,0
2024-07-15,1.0885539054870605,1.0885539054870605,1.0921919345855713,1.088435411453247,1.0885539054870605,0
2024-07-16,1.0901559591293335,1.0901559591293335,1.0906314849853516,1.0872164964675903,1.0901559591293335,0
2024-07-17,1.0902509689331055,1.0902509689331055,1.0947147607803345,1.0896332263946533,1.0902509689331055,0
2024-07-18,1.094020128250122,1.094020128250122,1.0942115783691406,1.0905362367630005,1.094020128250122,0
2024-07-19,1.0901559591293335,1.0901559591293335,1.0901559591293335,1.0877368450164795,1.0901559591293335,0
2024-07-22,1.0899182558059692,1.0899182558059692,1.0901559591293335,1.0873701572418213,1.0899182558059692,0
2024-07-23,1.0889805555343628,1.0889805555343628,1.0900371074676514,1.084445834159851,1.0889805555343628,0
2024-07-24,1.0850694179534912,1.0850694179534912,1.0866494178771973,1.0826728343963623,1.0850694179534912,0
2024-07-25,1.0839520692825317,1.0839520692825317,1.0864368677139282,1.0829308032989502,1.0839520692825317,0
2024-07-26,1.0851283073425293,1.0851283073425293,1.0868501663208008,1.084269404411316,1.0851283073425293,0
2024-07-29,1.0853756666183472,1.0853756666183472,1.0871928930282593,1.0803102254867554,1.0853756666183472,0
2024-07-30,1.081946611404419,1.081946611404419,1.0837758779525757,1.0799952745437622,1.081946611404419,0
2024-07-31,1.0816072225570679,1.0816072225570679,1.0851871967315674,1.0808707475662231,1.0816072225570679,0
2024-08-01,1.082391619682312,1.082391619682312,1.0837758779525757,1.0778300762176514,1.082391619682312,0
2024-08-02,1.0787602663040161,1.0787602663040161,1.0926215648651123,1.0782949924468994,1.0787602663040161,0
2024-08-05,1.0910836458206177,1.0910836458206177,1.1007397174835205,1.089372158050537,1.0910836458206177,0
2024-08-06,1.0950982570648193,1.0950982570648193,1.0963108539581299,1.0904649496078491,1.0950982570648193,0
