Asset,Average_Daily_Return_%,Daily_Volatility_%,Sharpe_Ratio,Max_Drawdown_%
Gold,-0.1329,1.37,-0.097,-15.47
Oil,-0.698,2.7523,-0.2536,-36.89
Bitcoin,-0.2667,2.0494,-0.1302,-28.35
EURUSD,-0.039,0.2655,-0.1469,-3.61
