Date,US10Y_Yield,CPI,DXY_Close
2024-07-08,4.28,313.569,105.01000213623048
2024-07-09,4.3,313.569,105.12000274658205
2024-07-10,4.28,313.569,105.0500030517578
2024-07-11,4.2,313.569,104.44000244140624
2024-07-12,4.18,313.569,104.08999633789062
2024-07-15,4.23,313.569,104.19000244140624
2024-07-16,4.17,313.569,104.2699966430664
2024-07-17,4.16,313.569,103.75
2024-07-18,4.2,313.569,104.16999816894533
2024-07-19,4.25,313.569,104.4000015258789
2024-07-22,4.26,313.569,104.30999755859376
2024-07-23,4.25,313.569,104.4499969482422
2024-07-24,4.28,313.569,104.38999938964844
2024-07-25,4.27,313.569,104.36000061035156
2024-07-26,4.2,313.569,104.31999969482422
2024-07-29,4.17,313.569,104.55999755859376
2024-07-30,4.15,313.569,104.5500030517578
2024-07-31,4.09,313.569,104.0999984741211
2024-08-01,3.99,314.062,104.41999816894533
2024-08-02,3.8,314.062,103.20999908447266
2024-08-05,3.78,314.062,102.69000244140624
2024-08-06,3.9,314.062,102.97000122070312
2024-08-07,3.96,314.062,103.1999969482422
2024-08-08,3.99,314.062,103.20999908447266
2024-08-09,3.94,314.062,103.13999938964844
2024-08-12,3.9,314.062,103.13999938964844
2024-08-13,3.85,314.062,102.55999755859376
2024-08-14,3.83,314.062,102.56999969482422
2024-08-15,3.92,314.062,102.9800033569336
2024-08-16,3.89,314.062,102.45999908447266
2024-08-19,3.86,314.062,101.88999938964844
2024-08-20,3.82,314.062,101.44000244140624
2024-08-21,3.79,314.062,101.04000091552734
2024-08-22,3.86,314.062,101.51000213623048
2024-08-23,3.81,314.062,100.72000122070312
2024-08-26,3.82,314.062,100.8499984741211
2024-08-27,3.83,314.062,100.5500030517578
2024-08-28,3.84,314.062,101.08999633789062
2024-08-29,3.87,314.062,101.33999633789062
2024-08-30,3.91,314.062,101.6999969482422
2024-09-03,3.84,314.732,101.83000183105467
2024-09-04,3.77,314.732,101.36000061035156
2024-09-05,3.73,314.732,101.11000061035156
2024-09-06,3.72,314.732,101.18000030517578
2024-09-09,3.7,314.732,101.5500030517578
2024-09-10,3.65,314.732,101.62999725341795
2024-09-11,3.65,314.732,101.68000030517578
2024-09-12,3.68,314.732,101.37000274658205
2024-09-13,3.66,314.732,101.11000061035156
2024-09-16,3.63,314.732,100.76000213623048
2024-09-17,3.65,314.732,100.88999938964844
2024-09-18,3.7,314.732,100.5999984741211
2024-09-19,3.73,314.732,100.61000061035156
2024-09-20,3.73,314.732,100.72000122070312
2024-09-23,3.75,314.732,100.91999816894533
2024-09-24,3.74,314.732,100.37000274658205
2024-09-25,3.79,314.732,100.91999816894533
2024-09-26,3.79,314.732,100.55999755859376
2024-09-27,3.75,314.732,100.41999816894533
2024-09-30,3.81,314.732,100.77999877929688
2024-10-01,3.74,315.631,101.19000244140624
2024-10-02,3.79,315.631,101.68000030517578
2024-10-03,3.85,315.631,101.98999786376952
2024-10-04,3.98,315.631,102.5199966430664
2024-10-07,4.03,315.631,102.54000091552734
2024-10-08,4.04,315.631,102.5500030517578
2024-10-09,4.06,315.631,102.93000030517578
2024-10-10,4.09,315.631,102.98999786376952
2024-10-11,4.08,315.631,102.88999938964844
2024-10-14,4.08,315.631,103.3000030517578
2024-10-15,4.03,315.631,103.26000213623048
2024-10-16,4.02,315.631,103.58999633789062
2024-10-17,4.09,315.631,103.83000183105467
2024-10-18,4.08,315.631,103.48999786376952
2024-10-21,4.19,315.631,104.01000213623048
2024-10-22,4.2,315.631,104.08000183105467
2024-10-23,4.24,315.631,104.43000030517578
2024-10-24,4.21,315.631,104.05999755859376
2024-10-25,4.25,315.631,104.26000213623048
2024-10-28,4.28,315.631,104.31999969482422
2024-10-29,4.28,315.631,104.27999877929688
2024-10-30,4.29,315.631,103.98999786376952
2024-10-31,4.28,315.631,103.9800033569336
2024-11-01,4.37,316.528,104.27999877929688
2024-11-04,4.31,316.528,103.88999938964844
2024-11-05,4.26,316.528,103.41999816894533
2024-11-06,4.42,316.528,105.08999633789062
2024-11-07,4.31,316.528,104.51000213623048
2024-11-08,4.3,316.528,105.0
2024-11-11,4.3,316.528,105.54000091552734
2024-11-12,4.43,316.528,106.0199966430664
2024-11-13,4.44,316.528,106.4800033569336
2024-11-14,4.43,316.528,106.66999816894533
2024-11-15,4.43,316.528,106.69000244140624
2024-11-18,4.42,316.528,106.27999877929688
2024-11-19,4.39,316.528,106.20999908447266
2024-11-20,4.41,316.528,106.68000030517578
2024-11-21,4.43,316.528,106.97000122070312
2024-11-22,4.41,316.528,107.48999786376952
2024-11-25,4.27,316.528,106.81999969482422
2024-11-26,4.3,316.528,107.01000213623048
2024-11-27,4.25,316.528,106.08000183105467
2024-11-29,4.18,316.528,105.73999786376952
2024-12-02,4.19,317.604,106.4499969482422
2024-12-03,4.23,317.604,106.37000274658205
2024-12-04,4.19,317.604,106.33999633789062
2024-12-05,4.17,317.604,105.70999908447266
2024-12-06,4.15,317.604,105.97000122070312
2024-12-09,4.2,317.604,106.1500015258789
2024-12-10,4.22,317.604,106.4000015258789
2024-12-11,4.26,317.604,106.70999908447266
2024-12-12,4.32,317.604,106.95999908447266
2024-12-13,4.4,317.604,107.0
2024-12-16,4.39,317.604,106.86000061035156
2024-12-17,4.4,317.604,106.95999908447266
2024-12-18,4.5,317.604,108.02999877929688
2024-12-19,4.57,317.604,108.41000366210938
2024-12-20,4.52,317.604,107.62000274658205
2024-12-23,4.59,317.604,108.04000091552734
2024-12-24,4.59,317.604,108.26000213623048
2024-12-26,4.58,317.604,108.12999725341795
2024-12-27,4.62,317.604,108.0
2024-12-30,4.55,317.604,108.12999725341795
2024-12-31,4.58,317.604,108.48999786376952
2025-01-02,4.57,318.961,109.38999938964844
2025-01-03,4.6,318.961,108.9499969482422
2025-01-06,4.62,318.961,108.26000213623048
2025-01-07,4.67,318.961,108.54000091552734
2025-01-08,4.67,318.961,109.08999633789062
2025-01-09,4.68,318.961,109.18000030517578
2025-01-10,4.77,318.961,109.6500015258789
2025-01-13,4.79,318.961,109.95999908447266
2025-01-14,4.78,318.961,109.2699966430664
